Change Physical Footprint: Designator=C1 Old Footprint=CAPRB500W50L550T350H600 New Footprint=CAPRB500W50L550T350H600
Change Physical Footprint: Designator=D1 Old Footprint=DIOM5227X270N New Footprint=DIOM5227X270N
Change Physical Footprint: Designator=D2 Old Footprint=DIOM5227X270N New Footprint=DIOM5227X270N
Change Physical Footprint: Designator=J1 Old Footprint=AMASS_XT60-M New Footprint=AMASS_XT60-M
Change Physical Footprint: Designator=J2 Old Footprint=MOLEX_532530470 New Footprint=MOLEX_532530470
Change Physical Footprint: Designator=J3 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J4 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J5 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J6 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J7 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J8 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J9 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J10 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J11 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J12 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J13 Old Footprint=ED500V-02P New Footprint=ED500V-02P
Change Physical Footprint: Designator=J14 Old Footprint=ED500V-02P New Footprint=ED500V-02P
Change Physical Footprint: Designator=J15 Old Footprint=ED500V-02P New Footprint=ED500V-02P
Change Physical Footprint: Designator=J16 Old Footprint=ED500V-02P New Footprint=ED500V-02P
Change Physical Footprint: Designator=Q1 Old Footprint=TO-236_VIS New Footprint=TO-236_VIS
Change Physical Footprint: Designator=Q2 Old Footprint=SOT23 New Footprint=SOT23
Change Physical Footprint: Designator=Q3 Old Footprint=SOT23 New Footprint=SOT23
Change Physical Footprint: Designator=Q4 Old Footprint=SOT23 New Footprint=SOT23
Change Physical Footprint: Designator=Q5 Old Footprint=SOT23 New Footprint=SOT23
Change Physical Footprint: Designator=Q6 Old Footprint=SOT23 New Footprint=SOT23
Change Physical Footprint: Designator=Q7 Old Footprint=SOT23 New Footprint=SOT23
Change Physical Footprint: Designator=R1 Old Footprint=RESC3115X65N New Footprint=RESC3115X65N
Change Physical Footprint: Designator=R2 Old Footprint=RESC3115X65N New Footprint=RESC3115X65N
Change Physical Footprint: Designator=R3 Old Footprint=RESC3116X65N New Footprint=RESC3116X65N
Change Physical Footprint: Designator=R4 Old Footprint=RESC3216X65 New Footprint=RESC3216X65
Change Physical Footprint: Designator=R5 Old Footprint=RESC3115X65N New Footprint=RESC3115X65N
Change Physical Footprint: Designator=R6 Old Footprint=RESC3115X65N New Footprint=RESC3115X65N
Change Physical Footprint: Designator=R7 Old Footprint=RESC3116X65N New Footprint=RESC3116X65N
Change Physical Footprint: Designator=R8 Old Footprint=RESC3115X65N New Footprint=RESC3115X65N
Change Physical Footprint: Designator=R9 Old Footprint=RESC3116X65N New Footprint=RESC3116X65N
Change Physical Footprint: Designator=R10 Old Footprint=RESC3116X65N New Footprint=RESC3116X65N
Change Physical Footprint: Designator=R11 Old Footprint=RESC3116X65N New Footprint=RESC3116X65N
Change Physical Footprint: Designator=R12 Old Footprint=RESC3116X65N New Footprint=RESC3116X65N
Change Physical Footprint: Designator=R13 Old Footprint=RESC3116X65N New Footprint=RESC3116X65N
Change Physical Footprint: Designator=SW1 Old Footprint=TE_1825910-2 New Footprint=TE_1825910-2
Change Physical Footprint: Designator=U1 Old Footprint=MP1548 Buck/Step Down 3A Regulator New Footprint=MP1548 Buck/Step Down 3A Regulator
Change Physical Footprint: Designator=U2 Old Footprint=BlackPill_PCB New Footprint=BlackPill_PCB
Change Physical Footprint: Designator=U3 Old Footprint=MPU-92.65 New Footprint=MPU-92.65
