Change Physical Footprint: Designator=J2 Old Footprint=MOLEX_532530470 New Footprint=MOLEX_532530470
Change Physical Footprint: Designator=J3 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J4 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J5 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J6 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J7 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J8 Old Footprint=MOLEX_532530270 New Footprint=MOLEX_532530270
Change Physical Footprint: Designator=J9 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J10 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J11 Old Footprint=2 New Footprint=2
Change Physical Footprint: Designator=J12 Old Footprint=2 New Footprint=2
