Replace Part *1 BlackPill_SCH in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with BlackPill_SCH from BlackPill.IntLib
Replace Part D1 S1M in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with S1M from S1M.IntLib
Replace Part D2 S1M in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with S1M from S1M.IntLib
Replace Part J1 XT60PW-M in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with XT60PW-M from XT60PW-M.IntLib
Replace Part J2 532530270 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530270 from 532530270.IntLib
Replace Part J3 532530370 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530370 from 532530370.IntLib
Replace Part J4 532530370 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530370 from 532530370.IntLib
Replace Part J5 532530370 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530370 from 532530370.IntLib
Replace Part J6 532530370 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530370 from 532530370.IntLib
Replace Part J7 532530470 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530470 from 532530470.IntLib
Replace Part J8 532530270 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530270 from 532530270.IntLib
Replace Part J9 532530270 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530270 from 532530270.IntLib
Replace Part J10 532530270 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530270 from 532530270.IntLib
Replace Part J11 532530270 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with 532530270 from 532530270.IntLib
Replace Part Q1 BC846 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with BC846 from BC846.IntLib
Replace Part Q2 BC846 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with BC846 from BC846.IntLib
Replace Part Q3 Si2319CDS in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with Si2319CDS from SI2319DS-T1-E3.IntLib
Replace Part Q4 BC846 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with BC846 from BC846.IntLib
Replace Part Q5 BC846 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with BC846 from BC846.IntLib
Replace Part Q6 BC846 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with BC846 from BC846.IntLib
Replace Part Q7 BC846 in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with BC846 from BC846.IntLib
Replace Part R1 MetalFilm_1.2k_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_1.2k_0.25W from MetalFilm_1.2k_0.25W.IntLib
Replace Part R2 MetalFilm_56_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_56_0.25W from MetalFilm_56_0.25W.IntLib
Replace Part R3 MetalFilm_56_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_56_0.25W from MetalFilm_56_0.25W.IntLib
Replace Part R4 MetalFilm_82_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_82_0.25W from MetalFilm_82_0.25W.IntLib
Replace Part R5 MetalFilm_82_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_82_0.25W from MetalFilm_82_0.25W.IntLib
Replace Part R6 MetalFilm_820_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_820_0.25W from MetalFilm_820_0.25W.IntLib
Replace Part R7 MetalFilm_820_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_820_0.25W from MetalFilm_820_0.25W.IntLib
Replace Part R8 MetalFilm_2.2k_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_2.2k_0.25W from MetalFilm_2.2k_0.25W.IntLib
Replace Part R9 MetalFilm_2.2k_0.25W in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MetalFilm_2.2k_0.25W from MetalFilm_2.2k_0.25W.IntLib
Replace Part U1 MP1548 Buck/Step Down 3A Regulator in D:\Francesco\Thesis\CESE_Thesis_Flight-Controller-PCB\Flight_Controller\Flight_Controller_Schematic_Sheet1.SchDoc with MP1548 Buck/Step Down 3A Regulator from MP1584 Buck-Step Down 3A Converter.IntLib
