"Designator,""Layer"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"",""Description"""
"D2,""BottomLayer"",""63.1750"",""14.1250"",""270"",""DIODE GEN PURP 1KV 1A SOD123FL"""
"D1,""BottomLayer"",""60.3750"",""14.1250"",""270"",""DIODE GEN PURP 1KV 1A SOD123FL"""
"R16,""BottomLayer"",""43.7250"",""24.0500"",""90"",""RES 1.2K OHM 1% 1/4W 1206"""
"R15,""BottomLayer"",""2.8250"",""8.8500"",""270"",""RES 470 OHM 1% 1/4W 1206"""
"R14,""BottomLayer"",""40.9000"",""17.2250"",""270"",""RES 1.2K OHM 1% 1/4W 1206"""
"R1,""BottomLayer"",""66.2460"",""14.1500"",""90"",""RES 120K OHM 1% 1/4W 1206"""
"R2,""BottomLayer"",""70.0499"",""24.0000"",""270"",""RES 470 OHM 1% 1/4W 1206"""
"R3,""BottomLayer"",""62.6001"",""28.3249"",""90"",""RES 1.2K OHM 1% 1/4W 1206"""
"R4,""BottomLayer"",""68.8499"",""14.1500"",""270"",""RES 47K OHM 1% 1/4W 1206"""
"R5,""BottomLayer"",""66.1750"",""28.2999"",""270"",""RES 10K OHM 1% 1/4W 1206"""
"R6,""BottomLayer"",""38.3000"",""24.0500"",""270"",""RES 68K OHM 1% 1/4W 1206"""
"R7,""BottomLayer"",""25.6500"",""18.0750"",""90"",""RES 820 OHM 1% 1/4W 1206"""
"R8,""BottomLayer"",""41.0125"",""24.0500"",""90"",""RES 27K OHM 1% 1/4W 1206"""
"R9,""BottomLayer"",""19.3500"",""32.8500"",""90"",""RES 56 OHM 1% 1/4W 1206"""
"R10,""BottomLayer"",""45.2752"",""8.8500"",""90"",""RES SMD 82 OHM 1% 1/4W 1206"""
"R11,""BottomLayer"",""20.9500"",""8.8500"",""270"",""RES 56 OHM 1% 1/4W 1206"""
"R12,""BottomLayer"",""42.8002"",""32.8500"",""270"",""RES SMD 82 OHM 1% 1/4W 1206"""
"R13,""BottomLayer"",""12.9500"",""24.0500"",""270"",""RES 470 OHM 1% 1/4W 1206"""
"Q7,""BottomLayer"",""34.5500"",""24.2650"",""180"",""TRANS NPN 65V 0.1A SOT23-3"""
"Q6,""BottomLayer"",""12.3500"",""8.3500"",""90"",""TRANS NPN 65V 0.1A SOT23-3"""
"Q5,""BottomLayer"",""37.4000"",""17.7350"",""270"",""TRANS NPN 65V 0.1A SOT23-3"""
"Q4,""BottomLayer"",""18.2250"",""23.5650"",""90"",""TRANS NPN 65V 0.1A SOT23-3"""
"Q3,""BottomLayer"",""29.5000"",""18.4000"",""0"",""TRANS NPN 65V 0.1A SOT23-3"""
"Q2,""BottomLayer"",""61.5000"",""23.4999"",""270"",""TRANS NPN 65V 0.1A SOT23-3"""
"Q1,""BottomLayer"",""66.3750"",""22.5500"",""270"",""MOSFET P-CH 40V 2.3A SOT23-3"""
